date,count
2023-08-20,8
2024-04-07,7
2024-12-19,6
2025-03-15,6
2024-11-24,6
2024-07-24,5
2024-06-08,5
2023-02-16,5
2024-08-31,5
2025-06-24,5
2024-07-22,5
2023-06-07,4
2024-06-09,4
2023-12-13,4
2025-05-03,4
2025-03-12,4
2023-10-16,4
2024-06-19,4
2025-06-28,4
2024-04-11,4
